city,lat,lon
Gold Bar,47.8566,-121.6927
Clyde Hill,47.6303,-122.21799999999999
Upper Elochoman,46.2403,-123.3247
Marcus,48.6642,-118.0601
Canyon Creek,48.1157,-121.9831
Malone,46.9779,-123.3035
Bothell East,47.8064,-122.1844
Yarrow Point,47.6452,-122.2179
Steptoe,47.0075,-117.3502
West Richland,46.3115,-119.3997
Orient,48.8637,-118.2059
Federal Way,47.309,-122.3359
Pe Ell,46.5712,-123.2982
Deep River,46.3521,-123.6984
Bothell,47.7736,-122.2044
South Wenatchee,47.3886,-120.2829
Snoqualmie Pass,47.4014,-121.4109
Hartline,47.6895,-119.1081
Lake Forest Park,47.7597,-122.2878
Crocker,47.0843,-122.1225
Elbe,46.7653,-122.1946
Ravensdale,47.3563,-121.9692
Arlington,48.1697,-122.1446
McChord AFB,47.1328,-122.4924
Lebam,46.5641,-123.5509
Lynden,48.9503,-122.4544
Coupeville,48.2172,-122.6775
Prescott,46.2988,-118.3126
South Bend,46.668,-123.8008
Mabton,46.2115,-119.9938
North Bend,47.4898,-121.7738
Grapeview,47.3316,-122.8413
Garfield,47.0103,-117.1395
Rochester,46.8288,-123.0722
Dayton,46.3168,-117.9769
Algona,47.2822,-122.2504
Mineral,46.7193,-122.1859
Barstow,48.7783,-118.1329
Moclips,47.2348,-124.2025
Bellingham,48.7543,-122.4687
Vader,46.4045,-122.9569
North Lynnwood,47.8533,-122.2762
Tracyton,47.6095,-122.6533
White Salmon,45.7282,-121.4853
Peaceful Valley,48.9477,-122.1406
East Renton Highlands,47.4718,-122.0854
Metaline,48.854,-117.3899
Deming,48.8381,-122.2313
Medical Lake,47.5712,-117.6893
Aberdeen,46.9757,-123.8095
Chehalis,46.6637,-122.9647
Onalaska,46.5783,-122.7112
Toledo,46.4414,-122.8496
Everson,48.9123,-122.351
Belfair,47.4495,-122.8487
Lynnwood,47.8285,-122.3035
Colton,46.5675,-117.1285
Malden,47.2296,-117.4731
Ames Lake,47.6346,-121.9664
Wilson Creek,47.423,-119.1176
North Yelm,46.9647,-122.6029
Mirrormont,47.4616,-121.9936
Whidbey Island Station,48.3387,-122.6616
Town and Country,47.7259,-117.4221
Tokeland,46.708999999999996,-123.9839
Snoqualmie,47.5293,-121.8412
Bremerton,47.5436,-122.7121
East Cathlamet,46.1968,-123.35799999999999
Fort Lewis,47.0955,-122.5672
Salmon Creek,45.7099,-122.6632
Skykomish,47.7103,-121.3586
Tacoma,47.2431,-122.4531
Monroe,47.8596,-121.9853
Loomis,48.8235,-119.6398
Pomeroy,46.4737,-117.5967
Brush Prairie,45.725,-122.5483
Silver Firs,47.8635,-122.1497
Nespelem,48.167,-118.9722
Meadowdale,47.8583,-122.3156
Shadow Lake,47.4017,-122.0764
LaCrosse,46.8021,-117.9013
Concrete,48.5371,-121.7512
Sumas,48.9956,-122.2695
Ruston,47.2982,-122.51
La Center,45.8589,-122.6764
Marrowstone,48.0568,-122.6933
Chelan Falls,47.7995,-119.9882
Lake Cavanaugh,48.3225,-122.0122
Duluth,45.7838,-122.647
Sequim,48.0747,-123.0944
Benton City,46.2624,-119.4814
Moses Lake,47.1284,-119.2741
Fircrest,47.2308,-122.5157
Othello,46.8222,-119.1651
Mercer Island,47.5625,-122.2265
Enumclaw,47.2017,-121.9897
Chico,47.6234,-122.7198
Enetai,47.5885,-122.6058
Hunts Point,47.641999999999996,-122.229
Clinton,47.9731,-122.3577
Hat Island,48.013000000000005,-122.3201
Marietta-Alderwood,48.7932,-122.5566
Waitsburg,46.2696,-118.15100000000001
Sunnyslope,47.4913,-120.3493
South Cle Elum,47.1862,-120.9525
Selah,46.6482,-120.5389
Lind,46.9704,-118.6165
Five Corners,45.6883,-122.5738
Winthrop,48.4716,-120.179
Normandy Park,47.4344,-122.3436
Home,47.278999999999996,-122.7744
Graham,47.0407,-122.2757
Yacolt,45.865,-122.4059
Packwood,46.6085,-121.6702
Queets,47.5314,-124.3385
Finley,46.1697,-119.0446
Northport,48.9159,-117.7796
Medina,47.6256,-122.2338
Browns Point,47.3036,-122.4369
Summit,47.1694,-122.3628
Albion,46.7916,-117.2511
Sudden Valley,48.7199,-122.3468
Bunk Foss,47.9618,-122.0943
Gleed,46.6594,-120.6025
Maryhill,45.6928,-120.807
Oyehut,47.0233,-124.1632
Alder,46.7872,-122.2667
