Tech,Percentage,Date,Title
asp,0.4350456653893803,12-01-2019,Data Analyst
aws,3.9932006107925897,12-01-2019,Data Analyst
acrobat,0.004801828536306625,12-01-2019,Data Analyst
airflow,0.43408529968211895,12-01-2019,Data Analyst
alteryx,0.0950762050188712,12-01-2019,Data Analyst
android,0.3678200658810875,12-01-2019,Data Analyst
angular,0.9872559470646424,12-02-2019,Data Analyst
ansible,0.14693595321098274,12-02-2019,Data Analyst
apache,0.8576065765843635,12-02-2019,Data Analyst
arduino,0.0019207314145226503,12-02-2019,Data Analyst
azure,2.4998319360012293,12-02-2019,Data Analyst
bsd,0.0019207314145226503,12-02-2019,Data Analyst
bash,0.34861275173586104,12-02-2019,Data Analyst
bigquery,0.13637193043110818,12-03-2019,Data Analyst
c++,0.00960365707261325,12-03-2019,Data Analyst
css,2.2568594120641143,12-03-2019,Data Analyst
caffe,0.08547254794625793,12-03-2019,Data Analyst
cassandra,0.3783840886609621,12-03-2019,Data Analyst
chef,0.20455789564666227,12-03-2019,Data Analyst
couchbase,0.014405485608919875,12-04-2019,Data Analyst
databricks,0.2621798380823417,12-04-2019,Data Analyst
django,0.1075609592132684,12-04-2019,Data Analyst
docker,0.6405639267433039,12-04-2019,Data Analyst
drupal,0.06242377097198613,12-04-2019,Data Analyst
dynamodb,0.12964937048027889,12-04-2019,Data Analyst
elixir,0.018246948437965173,12-04-2019,Data Analyst
excel,2.1829112526049923,12-05-2019,Data Analyst
firebase,0.024009142681533133,12-05-2019,Data Analyst
flask,0.05378047960663421,12-05-2019,Data Analyst
gcp,0.47826212221614,12-05-2019,Data Analyst
git,1.4126979553814094,12-05-2019,Data Analyst
html,2.7437648256456058,12-05-2019,Data Analyst
hadoop,2.1877130811412986,12-06-2019,Data Analyst
hbase,0.4196798140731991,12-06-2019,Data Analyst
hive,1.4184601496249771,12-06-2019,Data Analyst
ibm,0.3466920203213384,12-06-2019,Data Analyst
illustrator,0.06434450238650878,12-06-2019,Data Analyst
indesign,0.03361279975414638,12-06-2019,Data Analyst
intellij,0.01632621702344253,12-06-2019,Data Analyst
java,4.030654873375782,12-07-2019,Data Analyst
javascript,3.321904981416924,12-07-2019,Data Analyst
jupyter,0.3764633572464394,12-07-2019,Data Analyst
keras,0.1853505815014357,12-07-2019,Data Analyst
kubernetes,0.4792224879234012,12-07-2019,Data Analyst
laravel,0.2621798380823417,12-07-2019,Data Analyst
linux,1.925533243058957,12-08-2019,Data Analyst
macos,0.020167679852487828,12-08-2019,Data Analyst
mariadb,0.12484754194397228,12-08-2019,Data Analyst
matlab,0.44657005387651616,12-08-2019,Data Analyst
microsoft,3.5447098255015512,12-08-2019,Data Analyst
mongodb,0.4849846821669692,12-08-2019,Data Analyst
mysql,1.3358686988005029,12-08-2019,Data Analyst
net,1.8736734948668448,12-09-2019,Data Analyst
