Name,Average_User_Rating,User_Rating_Count,Price,In-app_Purchases,Developer,Age_Rating,Languages,Size,Original_Release_Date,Current_Version_Release_Date,Action,Adventure,Board,Card,Casual,Education,Entertainment,Family,Puzzle,Role Playing,Simulation,Sports,Other,desc_lengths,Difference_in_Days
Rush!,0.0,0.0,0.0,['0.0'],Total Web Systems Limited,4.0,EN,14749696.0,1700,1700,0,0,0,0,0,0,1,1,0,0,0,0,0,655,0
Orbit-Shoot The Moon,5.0,21.0,0.0,['0.0'],Bashar Zaidat,4.0,EN,34716672.0,1582,752,0,0,0,0,1,0,0,0,0,0,0,0,0,677,830
Asylum Night Shift,4.0,149.0,1.99,"['0.99', '0.99', '0.99']",PHB Media Ltd,12.0,EN,82124800.0,1703,1517,1,0,0,0,0,0,1,0,0,0,0,0,0,1735,186
Gold Rush Clicker - Nuggets and Bars Miner Fever,3.5,33.0,0.0,"['0.99', '0.99', '0.99', '0.99', '0.99']",Jason Cowles,4.0,EN,9638912.0,1694,1230,0,0,0,0,1,0,1,0,0,0,0,0,0,803,464
Maze Challenge - Labyrinth edition,0.0,0.0,0.0,['0.0'],Sandeep Bhandari,4.0,EN,15826944.0,1693,1693,0,0,0,0,0,0,1,0,1,0,0,0,0,977,0
Boom Stars Carnival,0.0,0.0,0.0,"['0.99', '1.99', '2.99', '3.99', '5.99', '3.99', '3.99']","Shenzhen WanBei Technology Co.,Ltd.",4.0,"EN, ZH",14024704.0,1594,1594,0,0,0,0,0,0,1,0,1,0,0,0,0,1006,0
Spider Solitaire Swift,0.0,0.0,0.0,['0.0'],Six Foot Three Foot,4.0,"AR, EN, FR, DE, IT, ZH, ES",15707136.0,1683,786,0,0,0,1,0,0,0,0,0,0,0,0,1,1032,897
Video Walkthrough for Plague Inc.,0.0,0.0,2.99,"['0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']",Chi Kau Wan,17.0,"EN, ZH, ZH",19927040.0,1700,1301,0,0,0,0,0,0,0,0,0,0,1,0,1,1613,399
Onet Connect Animal - Link Pet Mania,4.0,12.0,0.0,['0.0'],manh pham,4.0,EN,12496896.0,1684,1164,0,0,0,0,0,0,1,0,1,0,0,0,0,290,520
Brain Splat,0.0,0.0,0.0,['0.0'],David Trinh,9.0,EN,15798272.0,1693,1693,0,0,0,0,0,1,0,0,1,0,0,0,0,174,0
Cutie no Cake - Hot shooting bug strategy game with sexy anime girls!,4.0,47.0,0.0,"['2.99', '0.99']",Tomiko Studios,9.0,EN,19337216.0,1638,1638,0,0,0,0,1,0,1,0,0,0,0,0,0,463,0
"""Panzer Campaigns - Smolensk '41""",5.0,5.0,2.99,['0.0'],John Tiller,12.0,EN,39744512.0,1703,861,0,0,0,0,0,0,0,0,0,0,1,0,0,488,842
Samurai Ninja Kid Karate Master Game,0.0,0.0,0.0,"['4.99', '19.99', '9.99']",Chris Goinks,4.0,EN,66203648.0,1692,1692,1,0,0,0,0,0,1,0,0,0,0,0,0,116,0
